tweet,target,q1_from_reading_the_tweet_which_of_the_options_below_is_most_likely_to_be_true_about_the_stance_or_outlook_of_the_tweeter_towards_the_target,q1_from_reading_the_tweet_which_of_the_options_below_is_most_likely_to_be_true_about_the_stance_or_outlook_of_the_tweeter_towards_the_target_confidence,AdjustedScore
"Life, what a beautiful choice. Adoption. Not abortion.",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
@DWStweets @RepDWStweets is a seven pound baby murderer. Too bad her Mom didn't have the same operation. #Baby #Democrats #Losers,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"RT @ProLifeYouth: ""It seems to me clear as daylight that abortion would be a crime."" -Ghandi  #ProLifeYouth",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
Children are the greatest blessing which God has bestowed on man and woman. -Pope Francis #LifeisaGift,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"She has a brain, a heart, and her own unique DNA, not her mother's. She is alive and human. Please don't kill her.",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"We can be the generation that ends abortion. I don't care whose toes we step on or who we offend, it's time to put an end to",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
RT alvedaking: The most disturbing thing we to this planet is to flood our streets with the #blood of #children from #HappyEarthD...,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
I really don't understand how some people are Pro-Choice. A life is a life no matter if it's 2 weeks old or 20 years old.,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
One day I'm gonna set an abortion clinic on fire. Anyone wanna join?,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
We are the #prolifegen and we will abolish abortion in our lifetime! #prolifefuture #tcot,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
As long as they are allowed to show medically correct photos of contraception use at the family planning table #StopAbortion,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"Life, what a beautiful choice. Adoption. Not abortion.",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
RT @RogerIsCatholic: Save the Baby Humans! #WAAR,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
Some Bitches be scared to kill a little cockroach in their house but quick to kill a baby...,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"We all are sinners, but what right do humans have to kill another human being? Is that what God wanted us to do? #SCL #thoughts",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
RT @DogsOfGod: I will fight for the unborn!,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"@WildChild69 Typo - I meant to say ""dies"" - With every abortion @ least one human dies.",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
Pro-choice is pro-murder couched in liberal rhetoric.,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
I've noticed that everybody that is for Abortion has already been born-Ronald Reagan #LetthemLive #AllLivesMatter,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
I refuse to stop praying for an end to abortion.,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
Hey Megan--a baby's heart starts beating at 21 days after conception. No time is the right time to end its life!! #kellyfile,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
#BlackLivesMatter unless they are pre born black lives then they don't matter #AbortionIsMurder #LiberalLogic,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
@notmuchelse you want the freedom to murder a baby. Rip them limb by limb. No change in subject by me.Libertarian,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
We have the duty to protect the life of an unborn child. --Ronald Reagan #ccot #gop,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
Please join us as we pray to end the global holocaust of abortion!,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"Abortion has nothing to do with feminism. Its about the BABYS body, not yours.isright",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
Still waiting for Libs to explain how the premeditated murder of a premature baby is reproductive healthcare. #ccot,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"#Hillary, Here's one Christian whose religion views will never ""adapt"" to include abortion. Abortion is murder.",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"Unthinkable, shameful, acceptable, encouraged, desirable  ...the evolution of killing the defenseless.   @msnbc @jemimakirke",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"@RedAlert -there should be a ""stigma"" to butchering pre-born children - its a horrendous crime against humanity.  #murder",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"Preach! 'Black Sheriff Says if  #BlackLivesMatter,  They'd Protest at Abortion Clinics'. #ChooseLIFE #AllLivesMatter",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",1,-1
"@ProLifeLiberty Nope, you're wrong about personhood and abortion.",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.3932,0.3932
The fact that you believe your personal opinion is also God's opinion doesn't make you right.  #christians #ccot,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.3932,0.3932
This isn't your decision to make. You're not the one who carries the full responsibility & weight of the outcome. #1in3,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.4882,0.4882
What doesn't reduce abortions: -Threatening women  -Killing doctors  What does: -Cheap contraceptives.,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.4933,0.4933
RT @Auragasmic: Your body ALWAYS belongs to you and ONLY you can determine when & with whom your body is shared.,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.5034,0.5034
"Dont judge ppl for what they feed their plants.  My plant, my choice #whowouldntwantyournectar",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.5083,0.5083
"We only care about you until you're born, then you can just die for all we care. #tcot #jesuslovesdeadbabies",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.5094,0.5094
"What's funny is these pro lifers who admit never researching abortion because ""it's sad"" & get their info from other pro lifers..",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.5133,0.5133
#DidYouKnow Michigan requires minors to receive parental consent before an abortion is provided? #reproductivejustice,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.5194,0.5194
What doesn't reduce abortion rates: -Shaming pregnant women* -Assaulting pregnant women   What can: -Financial assistance,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.522,0.522
"@ShowTruth No, I can't explain why you would consider a medical procedure that leaves the patient healthy & happy as killing.",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.5989,0.5989
".@DRUDGE_REPORT not sure I agree with her decision but, it is her decision.I wonder how many of the critics would support abortion?",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.6099,0.6099
"I know what's best, for my health. You don't know anything about me. ",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.6143,0.6143
You know what's best for you You know what's best for your happiness You know what's best for your well being,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.6145,0.6145
Like the govt. is literally taking away your right to live your own life by defunding right now,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.6217,0.6217
They know what's best for their health They know what's best for their happiness They know what's best for their well being..,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.622,0.622
Kudos to the mentality that believes people who are dumb enough to not use protection are 'mature enough' to take care of a baby.,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.6234,0.6234
Assaulting & manipulating pregnant people doesn't reduce,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.6259,0.6259
"@TheFullBug Dehumanizing? Why are you dehumanizing the pregnant person? They're more than walking incubators, and have rights!",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.6268,0.6268
"Govt cannot force you to get chemo but if you're a fetus, you must live! #JulieBorowski #reproductiverights",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.6272,0.6272
Are the same people who are red faced and frothing over abortion also against the death penalty? Just wondering... #deathpenalty,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.6359,0.6359
What is the difference between a baby and a onion? No one cries when you chop up the baby.   Hahahahaha! Love dead babies! #Babies,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.637,0.637
My teacher today basically said that embroyo's are nothing but skin + blood & that abortion was fine. #smartlady,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.6494,0.6494
RT @gbforchoice: When is abortion a responsible choice? When a woman chooses it to be,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7372,0.7372
What doesn't reduce abortions: -Making it illegal  What does: -Sex education  -Caring about the pregnant person...,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7421,0.7421
Good morning @JustinTrudeau. Do you plan to tell @WadePEILiberal that women on PEI deserve the right to choose? #cdnpoli #peipoli,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7428,0.7428
"@ShowTruth Keeping pregnant people safe is a great reason for abortion, though.",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7433,0.7433
"@Snitfit because it's not your baby, body or decision, nor does it effect your life in any way. So it's none of your business.",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7437,0.7437
BRAVO TO BOTH OF YOU BEAUTIFULLY EXPLAINED HOLD UP #humantrafficking bill @SenBlumenthal @DickDurbin #womensrights #righttochoose,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7467,0.7467
What a great day to argue the benefits of making abortion legal,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7476,0.7476
We live in a world where people care more about religious rights than consent & reproductive rights....,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7499,0.7499
@AYoungJFK it was her choice Mark! #profeminist,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7553,0.7553
Whether someone wants to have children or not should be completely up to the person carrying that pregnancy...,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7568,0.7568
U know what isn't funny? Male politicians deciding what women should do with their body's.,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7655,0.7655
Lmao my school thinks giving women the right to an abortion is against feminism. They don't know feminism #wtf,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7676,0.7676
"Sadly, most health insurance plans don't cover abortions, so the price can be quite high....",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7722,0.7722
God forbid you'd ever have to walk a mile in her shoes. Then you really might know what it's like to have to choose.,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.7796,0.7796
@politicspizza @RebeccahLouise @ProLifeYouth women being independent and making their own CHOICES,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8627,0.8627
When is abortion a responsible choice? When a woman chooses it to be,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8665,0.8665
@Fredindimuli  yes he has an opinion but the choice should be in the hands of the women You know the person directly affected?,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8679,0.8679
"@ProWomanChoice Exactly, no apologies needed to any #fundamentalist of any kind.  Stop apologies for rights. #p2",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8689,0.8689
@AzzarelliJim Not so great for the women you want to force to give birth against their wills. #rapeculture,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8698,0.8698
I watched #AfterTiller and it gave me a whole new perspective on a woman's right to choose. #womensRights,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8705,0.8705
"I'm killing my baby tonight, I don't care if it's wrong or right!",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8705,0.8705
I refuse to let people like you shame and insult women for accessing healthcare. Sorry. Just no.,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8707,0.8707
People who have been pregnant can be pro choice. People who can't have kids can be pro choice. People who have a uterus can be,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8741,0.8741
People who want kids can b prochoice. U don't have to want an abortion to b prochoice. People who had a miscarriage can b prochoice,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8741,0.8741
If my body is the only way you can live and I don't want that I have the right to dismiss you. I don't know why that's a problem,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8783,0.8783
@tooprettyclub Are you OK with #GOP males telling you what you can and can't do with your own body?,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8802,0.8802
people in the government care more about words in a bible than women and their bodies,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8817,0.8817
People who have never had an abortion can be prochoice. People with a uterus can be prochoice. People who never want kids can be,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8823,0.8823
Inching toward diabetes while supporting @ProChoiceMass at #ChocolateMadness 2015. #mapoli,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8823,0.8823
"RT @pari_passu: Dear Religious Right: I keep my uterus out of your church, so keep your church out my uterus.",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8823,0.8823
@Stuart1927 @GoodCounselNet Thank goodness politicians saw sense and recognised women's rights over their own bodies.,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8823,0.8823
"A needed, safe medical procedure is available to women. Unfortunately, RW men say they should make women's decisions. Sad, huh?",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.883,0.883
"As good a time as any to say: when too many men are adjudicating on women's reproductive systems, the results are never good #Rape",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8856,0.8856
"@ProLifeLiberty Yes, your reasoning is horrible. We were talking about abortion, not death.",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8958,0.8958
@AsaSoltan putting abortion in with choices for women just won my heart over. Yaaaaaas! #shahs,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.8973,0.8973
Today I am grateful for the #reproductiverights that allow so many families to escape poverty. #abvote,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.9279,0.9279
Today I am grateful to have the right to control my body without govt influence. #antichoice leaders want to stop this. #abvote,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",0.9663,0.9663
I can't stand people who are pro life because they had a stillborn or loss....,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",1,1
@explicit0ceans I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense.,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",1,1
"Yep. RT: ""Defunding PP won't mean fewer abortions. It will mean more dead women. #prochoice"" #1in3",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",1,1
"Oh look!!! So not only are antichoice strongly against pregnant people's human rights, they're also homophobic. Shocker. (Not)",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",1,1
"RT @spicysandwich: Say it again for me one time!  Anti-abortion laws only lead to unsafe, illegal abortions!",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",1,1
Bodily autonomy is a human right. A person's access to abortion is a human right. #reprojustice #reprorights,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",1,1
"@ShowTruth No. It's absurd to refer to healthcare that saves pregnant people's lives as ""killing.""",Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",1,1
Lol it's no ones choice but the woman's when it comes to abortion. Men shouldn't even be able to vote on the issue.,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",1,1
RT @PinkGypsySoul: The single most important factor for women's advancement in society is our ability to control our fertility.,Legalization of Abortion,"FOR: We can infer from the tweet that the tweeter supports the target (e.g., directly or indirectly by supporting someone/something, by opposing or criticizing someone/something opposed to the target, or by echoing the stance of somebody else).",1,1
